#cosmic_gene	tier	UniProt_accession	UniProt_genes	UniProt_status	UniProt_protein_name	somatic_mutations	germline_mutations	role_TSG	role_oncogene	role_fusion protein	genetics_dominant	genetics_recessive	actionability_level	resistance_mutations	dominant_mutation_type-fusion	dominant_mutation_type-translocation	dominant_mutation_type-missense_mutations	dominant_mutation_type-splice_site_mutations	dominant_mutation_type-nonsense_mutations	dominant_mutation_type-frameshift_mutations	dominant_mutation_type-large_deletions	dominant_mutation_type-amplification	dominant_mutation_type-other_mutations	tissue_epithelial	tissue_leukaemia-lymphoma	tissue_mesenchymal	tissue_other_tissue	hallmark_angiogenesis	hallmark_replicative_immortality	hallmark_energetics	hallmark_immune_evasion	hallmark_apoptosis	hallmark_genomic_instability	hallmark_metastasis	hallmark_proliferative_signaling	hallmark_growth_suppression	hallmark_inflammation	cancer_type(s)
AFF1	1	P51825	AFF1 AF4 FEL MLLT2 PBM1	reviewed	AF4/FMR2 family member 1 (ALL1-fused gene from chromosome 4 protein) (Protein AF-4) (Protein FEL) (Proto-oncogene AF4)	1	0	0	0	1	1	0	-	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	AL
AFF3	1	P51826	AFF3 LAF4	reviewed	AF4/FMR2 family member 3 (Lymphoid nuclear protein related to AF4) (Protein LAF-4)	1	0	0	1	1	1	0	-	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	ALL, T-ALL
AFF4	1	Q9UHB7	AFF4 AF5Q31 MCEF HSPC092	reviewed	AF4/FMR2 family member 4 (ALL1-fused gene from chromosome 5q31 protein) (Protein AF-5q31) (Major CDK9 elongation factor-associated protein)	1	0	0	1	1	1	0	-	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	ALL
AKAP9	2	Q99996	AKAP9 AKAP350 AKAP450 KIAA0803	reviewed	A-kinase anchor protein 9 (AKAP-9) (A-kinase anchor protein 350 kDa) (AKAP 350) (hgAKAP 350) (A-kinase anchor protein 450 kDa) (AKAP 450) (AKAP 120-like protein) (Centrosome- and Golgi-localized PKN-associated protein) (CG-NAP) (Protein hyperion) (Protein kinase A-anchoring protein 9) (PRKA9) (Protein yotiao)	1	0	0	0	1	1	0	-	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	papillary thyroid
AKT1	1	P31749	AKT1 PKB RAC	reviewed	RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha)	1	0	0	1	0	1	0	-	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	1	0	breast, colorectal, ovarian, NSCLC
AKT2	1	P31751	AKT2	reviewed	RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta)	1	0	0	1	0	1	0	-	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	ovarian, pancreatic
AKT3	2	Q9Y243	AKT3 PKBG	reviewed	RAC-gamma serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-3) (Protein kinase B gamma) (PKB gamma) (RAC-PK-gamma) (STK-2)	1	0	0	1	0	0	0	-	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	GBM
ALDH2	2	P05091	ALDH2 ALDM	reviewed	Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (ALDH class 2) (ALDH-E2) (ALDHI)	1	0	0	0	1	1	0	-	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	leiomyoma
ALK	1	Q9UM73	ALK	reviewed	ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246)	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour, neuroblastoma
AMER1	1	Q5JTC6	AMER1 FAM123B WTX	reviewed	APC membrane recruitment protein 1 (Amer1) (Protein FAM123B) (Wilms tumor gene on the X chromosome protein)	1	0	1	0	0	0	1	-	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	Wilms tumour
ANK1	2	P16157	ANK1 ANK	reviewed	Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin)	1	0	0	0	0	0	0	-	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	CCRCC
APC	1	P25054	APC DP2.5	reviewed	Adenomatous polyposis coli protein (Protein APC) (Deleted in polyposis 2.5)	1	1	1	0	0	0	1	-	0	0	0	1	1	1	1	1	0	0	1	0	1	1	0	0	0	0	1	1	1	0	1	0	colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS, colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS
APOBEC3B	1	Q9UH17	APOBEC3B	reviewed	DNA dC->dU-editing enzyme APOBEC-3B (A3B) (EC 3.5.4.38) (Phorbolin-1-related protein) (Phorbolin-2/3)	0	1	1	1	0	0	1	-	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	breast cancer
AR	1	P10275	AR DHTR NR3C4	reviewed	Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4)	1	1	0	1	0	1	0	-	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	prostate
ARAF	2	P10398	ARAF ARAF1 PKS PKS2	reviewed	Serine/threonine-protein kinase A-Raf (EC 2.7.11.1) (Proto-oncogene A-Raf) (Proto-oncogene A-Raf-1) (Proto-oncogene Pks)	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	cholangiocarcinoma, lung adenocarcinoma, Langerhans cell histiocytosis
ARHGAP26	1	Q9UNA1	ARHGAP26 GRAF KIAA0621 OPHN1L	reviewed	Rho GTPase-activating protein 26 (GTPase regulator associated with focal adhesion kinase) (Oligophrenin-1-like protein) (Rho-type GTPase-activating protein 26)	1	0	1	0	1	1	0	-	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	AML, MDS
ARHGAP35	1	Q9NRY4	ARHGAP35 GRF1 GRLF1 KIAA1722 P190A p190ARHOGAP	reviewed	Rho GTPase-activating protein 35 (Glucocorticoid receptor DNA-binding factor 1) (Glucocorticoid receptor repression factor 1) (GRF-1) (Rho GAP p190A) (p190-A)	1	0	1	0	0	0	0	-	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	endometrial carcinoma
ARHGAP5	2	Q13017	ARHGAP5 RHOGAP5	reviewed	Rho GTPase-activating protein 5 (Rho-type GTPase-activating protein 5) (p190-B)	1	0	0	1	0	0	0	-	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	colon cancer, glioma
ARHGEF10	2	O15013	ARHGEF10 KIAA0294	reviewed	Rho guanine nucleotide exchange factor 10	1	0	1	0	0	0	0	-	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	colon cancer
ARHGEF10L	2	Q9HCE6	ARHGEF10L GRINCHGEF KIAA1626	reviewed	Rho guanine nucleotide exchange factor 10-like protein (GrinchGEF)	1	0	1	0	0	0	0	-	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	lymphoma
ARHGEF12	1	Q9NZN5	ARHGEF12 KIAA0382 LARG	reviewed	Rho guanine nucleotide exchange factor 12 (Leukemia-associated RhoGEF)	1	0	1	0	1	1	0	-	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	AML
ARID1A	1	O14497	ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1	reviewed	AT-rich interactive domain-containing protein 1A (ARID domain-containing protein 1A) (B120) (BRG1-associated factor 250) (BAF250) (BRG1-associated factor 250a) (BAF250A) (Osa homolog 1) (hOSA1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1) (hELD)	1	0	1	0	1	0	1	-	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	1	0	clear cell ovarian carcinoma, RCC, breast
ARID1B	1	Q8NFD5	ARID1B BAF250B DAN15 KIAA1235 OSA2	reviewed	AT-rich interactive domain-containing protein 1B	1	0	1	0	0	0	1	-	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	breast, hepatocellular carcinoma, clear cell ovarian carcinoma
ARID2	1	Q68CP9	ARID2 BAF200 KIAA1557	reviewed	AT-rich interactive domain-containing protein 2 (ARID domain-containing protein 2) (BRG1-associated factor 200) (BAF200) (Zinc finger protein with activation potential) (Zipzap/p200)	1	0	1	0	0	0	1	-	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	hepatocellular carcinoma
ARNT	1	P27540	ARNT BHLHE2	reviewed	Aryl hydrocarbon receptor nuclear translocator (ARNT protein) (Class E basic helix-loop-helix protein 2) (bHLHe2) (Dioxin receptor, nuclear translocator) (Hypoxia-inducible factor 1-beta) (HIF-1-beta) (HIF1-beta)	1	0	1	1	1	1	0	-	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	AML
ASPSCR1	1	Q9BZE9	ASPSCR1 ASPL RCC17 TUG UBXD9 UBXN9	reviewed	Tether containing UBX domain for GLUT4 (Alveolar soft part sarcoma chromosomal region candidate gene 1 protein) (Alveolar soft part sarcoma locus) (Renal papillary cell carcinoma protein 17) (UBX domain-containing protein 9)	1	0	0	0	1	1	0	-	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	alveolar soft part sarcoma
ASXL1	1	Q8IXJ9	ASXL1 KIAA0978	reviewed	Polycomb group protein ASXL1 (Additional sex combs-like protein 1)	1	0	1	0	0	0	1	-	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	MDS, CMML
ASXL2	2	Q76L83	ASXL2 ASXH2 KIAA1685	reviewed	Putative Polycomb group protein ASXL2 (Additional sex combs-like protein 2)	1	0	1	0	0	0	0	-	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	melanoma, CCRCC, AML
ATF1	1	P18846	ATF1	reviewed	Cyclic AMP-dependent transcription factor ATF-1 (cAMP-dependent transcription factor ATF-1) (Activating transcription factor 1) (Protein TREB36)	1	0	0	1	1	1	0	-	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	malignant melanoma of soft parts, angiomatoid fibrous histiocytoma
ATIC	1	P31939	ATIC PURH OK/SW-cl.86	reviewed	"Bifunctional purine biosynthesis protein ATIC (AICAR transformylase/inosine monophosphate cyclohydrolase) (ATIC) [Cleaved into: Bifunctional purine biosynthesis protein ATIC, N-terminally processed] [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR formyltransferase) (AICAR transformylase); Inosine 5'-monophosphate cyclohydrolase (IMP cyclohydrolase) (EC 3.5.4.10) (IMP synthase) (Inosinicase)]"	1	0	0	0	1	1	0	-	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	ALCL
ATM	1	Q13315	ATM	reviewed	Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated)	1	1	1	0	0	0	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	0	0	1	T-PLL, leukaemia, lymphoma, medulloblastoma, glioma
ATP1A1	1	P05023	ATP1A1	reviewed	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1)	1	0	1	1	0	1	0	-	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	adrenal aldosterone producing adenoma
ATP2B3	1	Q16720	ATP2B3	reviewed	Plasma membrane calcium-transporting ATPase 3 (PMCA3) (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 3) (Plasma membrane calcium pump isoform 3)	1	0	1	0	0	1	0	-	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	adrenal aldosterone producing adenoma
ATR	1	Q13535	ATR FRP1	reviewed	Serine/threonine-protein kinase ATR (EC 2.7.11.1) (Ataxia telangiectasia and Rad3-related protein) (FRAP-related protein 1)	1	1	1	0	0	1	0	-	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	1	0	endometrial, gastric, epithelial ovarian, myeloma, oropharyngeal
ATRX	1	P46100	ATRX RAD54L XH2	reviewed	Transcriptional regulator ATRX (EC 3.6.4.12) (ATP-dependent helicase ATRX) (X-linked helicase II) (X-linked nuclear protein) (XNP) (Znf-HX)	1	0	1	0	0	0	1	-	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	pancreatic neuroendocrine tumours, paediatric GBM
AXIN1	1	O15169	AXIN1 AXIN	reviewed	Axin-1 (Axis inhibition protein 1) (hAxin)	1	0	1	0	0	0	1	-	0	0	0	1	1	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma
AXIN2	1	Q9Y2T1	AXIN2	reviewed	Axin-2 (Axin-like protein) (Axil) (Axis inhibition protein 2) (Conductin)	1	1	1	0	0	0	1	-	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma, colorectal carcinoma
B2M	1	P61769	B2M	reviewed	Beta-2-microglobulin	1	0	1	0	0	0	1	-	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	DLBCL, melanoma, colorectal adenocarcinoma
BAP1	1	Q92560	BAP1 KIAA0272 hucep-6	reviewed	Ubiquitin carboxyl-terminal hydrolase BAP1 (EC 3.4.19.12) (BRCA1-associated protein 1) (Cerebral protein 6)	1	1	1	0	0	0	1	-	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	uveal melanoma, breast, NSCLC, RCC, mesothelioma, skin and uveal melanoma, kidney cancer
BARD1	1	Q99728	BARD1	reviewed	BRCA1-associated RING domain protein 1 (BARD-1) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BARD1)	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	breast cancer, ovarian cancer, breast cancer, endometrioid cancer
BAX	1	Q07812	BAX BCL2L4	reviewed	Apoptosis regulator BAX (Bcl-2-like protein 4) (Bcl2-L-4)	1	0	1	0	0	0	0	-	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	colorectal cancer
BAZ1A	2	Q9NRL2	BAZ1A ACF1 WCRF180 HSPC317	reviewed	Bromodomain adjacent to zinc finger domain protein 1A (ATP-dependent chromatin-remodeling protein) (ATP-utilizing chromatin assembly and remodeling factor 1) (hACF1) (CHRAC subunit ACF1) (Williams syndrome transcription factor-related chromatin-remodeling factor 180) (WCRF180) (hWALp1)	1	0	1	0	0	0	0	-	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	uterine carcinosarcoma, colon cancer
BCL10	1	O95999	BCL10	reviewed	B-cell lymphoma/leukemia 10	1	0	1	0	1	1	0	-	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	MALT
BCL11A	1	Q9H165	BCL11A CTIP1 EVI9 KIAA1809 ZNF856	reviewed	B-cell lymphoma/leukemia 11A (BCL-11A) (B-cell CLL/lymphoma 11A) (COUP-TF-interacting protein 1) (Ecotropic viral integration site 9 protein homolog) (EVI-9) (Zinc finger protein 856)	1	0	0	1	1	1	0	-	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	B-CLL
BCL11B	1	Q9C0K0	BCL11B CTIP2 RIT1	reviewed	B-cell lymphoma/leukemia 11B (BCL-11B) (B-cell CLL/lymphoma 11B) (COUP-TF-interacting protein 2) (Radiation-induced tumor suppressor gene 1 protein) (hRit1)	1	0	1	1	1	1	0	-	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	T-ALL
BCL2	1	P10415	BCL2	reviewed	Apoptosis regulator Bcl-2	1	0	0	1	1	1	0	-	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NHL, CLL
BCL2L12	2	Q9HB09	BCL2L12 BPR	reviewed	Bcl-2-like protein 12 (Bcl2-L-12) (Bcl-2-related proline-rich protein)	1	0	0	1	0	0	0	-	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	melanoma, SCC
BCL3	1	P20749	BCL3 BCL4 D19S37	reviewed	B-cell lymphoma 3 protein (BCL-3) (Proto-oncogene BCL3)	1	0	0	1	1	1	0	-	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	CLL
BCL6	1	P41182	BCL6 BCL5 LAZ3 ZBTB27 ZNF51	reviewed	B-cell lymphoma 6 protein (BCL-6) (B-cell lymphoma 5 protein) (BCL-5) (Protein LAZ-3) (Zinc finger and BTB domain-containing protein 27) (Zinc finger protein 51)	1	0	0	1	1	1	0	-	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NHL, CLL
BCL7A	1	Q4VC05	BCL7A	reviewed	B-cell CLL/lymphoma 7 protein family member A	1	0	0	0	1	1	0	-	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	BNHL
BCL9	1	O00512	BCL9	reviewed	B-cell CLL/lymphoma 9 protein (B-cell lymphoma 9 protein) (Bcl-9) (Protein legless homolog)	1	0	0	1	1	1	0	-	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	B-ALL
BCL9L	1	Q86UU0	BCL9L DLNB11	reviewed	B-cell CLL/lymphoma 9-like protein (B-cell lymphoma 9-like protein) (BCL9-like protein) (Protein BCL9-2)	1	0	1	1	0	0	0	-	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	colorectal cancer, endometrial carcinoma, gastric cancer
BCLAF1	2	Q9NYF8	BCLAF1 BTF KIAA0164	reviewed	Bcl-2-associated transcription factor 1 (Btf) (BCLAF1 and THRAP3 family member 1)	1	0	0	0	0	0	0	-	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	melanoma, SCC
BCOR	1	Q6W2J9	BCOR KIAA1575	reviewed	BCL-6 corepressor (BCoR)	1	0	1	0	1	0	1	-	0	1	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	retinoblastoma, AML, APL (translocation)
BCORL1	1	Q5H9F3	BCORL1	reviewed	BCL-6 corepressor-like protein 1 (BCoR-L1) (BCoR-like protein 1)	1	0	1	1	0	0	0	-	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	AML, HNSCC
BCR	1	P11274	BCR BCR1 D22S11	reviewed	Breakpoint cluster region protein (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-26)	1	0	0	0	1	1	0	-	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	CML, ALL, AML
BIRC3	1	Q13489	BIRC3 API2 MIHC RNF49	reviewed	Baculoviral IAP repeat-containing protein 3 (EC 2.3.2.27) (Apoptosis inhibitor 2) (API2) (Cellular inhibitor of apoptosis 2) (C-IAP2) (IAP homolog C) (Inhibitor of apoptosis protein 1) (hIAP-1) (hIAP1) (RING finger protein 49) (RING-type E3 ubiquitin transferase BIRC3) (TNFR2-TRAF-signaling complex protein 1)	1	0	1	1	1	1	0	-	0	1	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	CLL, MALT, MCL, MM
BIRC6	2	Q9NR09	BIRC6 KIAA1289	reviewed	Baculoviral IAP repeat-containing protein 6 (EC 2.3.2.27) (BIR repeat-containing ubiquitin-conjugating enzyme) (BRUCE) (RING-type E3 ubiquitin transferase BIRC6) (Ubiquitin-conjugating BIR domain enzyme apollon) (APOLLON)	1	0	0	1	1	0	0	-	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	melanoma, gastric adenocarcinoma, lung adenocarcinoma
BLM	1	P54132	BLM RECQ2 RECQL3	reviewed	Bloom syndrome protein (EC 3.6.4.12) (DNA helicase, RecQ-like type 2) (RecQ2) (RecQ protein-like 3)	0	1	1	0	0	0	1	-	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	leukaemia, lymphoma, skin squamous cell, other tumour types
BMP5	2	P22003	BMP5	reviewed	Bone morphogenetic protein 5 (BMP-5)	1	0	0	0	0	0	0	-	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	melanoma
BMPR1A	1	P36894	BMPR1A ACVRLK3 ALK3	reviewed	Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (Serine/threonine-protein kinase receptor R5) (SKR5) (CD antigen CD292)	0	1	1	1	0	0	1	-	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	gastrointestinal polyps
BRAF	1	P15056	BRAF BRAF1 RAFB1	reviewed	Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (p94) (v-Raf murine sarcoma viral oncogene homolog B1)	1	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric
