UniProt	DeePhase
A8MUU1	0.077
Q8N6V4	0.077
Q15836	0.078
A0A0G2JND7	0.078
P32119	0.078
Q86V88	0.078
P31025	0.078
P25787	0.078
Q99757	0.078
Q9NVQ4	0.078
P61086	0.078
P36404	0.078
P0C024	0.078
O95164	0.078
P41567	0.078
Q9Y6B6	0.079
Q49AS3	0.079
P47929	0.079
Q5T2L2	0.079
Q5VVH2	0.079
P05113	0.079
Q9HAT0	0.079
P62380	0.079
Q9BQC6	0.079
P62826	0.079
Q86SZ2	0.079
Q96AH8	0.079
Q9BPY8	0.079
P57735	0.08
Q9Y296	0.08
Q6ICL3	0.08
Q96F10	0.08
Q96MS3	0.08
O14907	0.08
Q9UI30	0.08
Q0VGL1	0.08
Q9UJQ1	0.08
Q8TAI7	0.081
Q9H3S4	0.081
P62280	0.081
P30711	0.081
Q01449	0.081
P68402	0.081
P69892	0.081
Q9UHA2	0.081
Q96F85	0.081
Q96A32	0.081
P60903	0.081
P53816	0.081
Q9NYQ3	0.081
Q8WUW1	0.081
Q7Z4G1	0.081
P17081	0.082
P82980	0.082
Q13232	0.082
Q969G6	0.082
P63272	0.082
Q9H1A7	0.082
Q9Y315	0.082
Q96PE7	0.082
P10145	0.082
O00757	0.082
P05109	0.082
Q08257	0.082
O00487	0.082
Q99584	0.082
Q8N5K1	0.082
P26447	0.082
Q15907	0.082
P24311	0.082
P56278	0.083
P69905	0.083
Q9H6V9	0.083
P69891	0.083
A6NNX1	0.083
Q9UJM8	0.083
Q9UJQ7	0.083
P21695	0.083
Q13126	0.083
Q5T292	0.083
Q9BTT4	0.083
Q9H299	0.083
P62330	0.083
P36542	0.083
P60983	0.083
Q9NYM9	0.083
O43617	0.083
Q8TD06	0.084
P60660	0.084
Q96A72	0.084
Q8WVJ2	0.084
Q14232	0.084
O15217	0.084
P61326	0.084
P50213	0.084
Q96EX1	0.084
Q96GK7	0.084
Q96AZ1	0.084
Q7L8W6	0.084
Q86V35	0.084
P40925	0.084
P80511	0.084
P20337	0.084
P62249	0.084
Q8N4G2	0.084
Q9BZX4	0.084
Q96PL1	0.085
P29034	0.085
Q9Y530	0.085
Q99525	0.085
P13232	0.085
O43716	0.085
Q9NVJ2	0.085
P33763	0.085
Q9NP72	0.085
Q8WW59	0.085
O00560	0.085
Q8WVC6	0.085
Q9H354	0.085
Q8NFU3	0.085
P59998	0.085
Q9H0P0	0.085
A0A0B4J263	0.085
Q9H0N5	0.085
P62244	0.086
Q96HQ2	0.086
Q9H008	0.086
P13500	0.086
Q92520	0.086
P63220	0.086
P68871	0.086
Q8TBF2	0.086
Q9UBK9	0.086
Q9BXW4	0.086
Q8WXB1	0.086
Q86XA0	0.086
P41247	0.086
A0A3B3IRV3	0.086
Q9NSA3	0.086
P00338	0.086
P60953	0.086
P60520	0.086
O75964	0.086
P60981	0.086
P29218	0.086
A2VDF0	0.086
H3BU10	0.086
A1A4Y4	0.086
P23434	0.087
P01303	0.087
A6NFU8	0.087
Q7Z6K4	0.087
Q15166	0.087
Q9NWW9	0.087
Q6P3W2	0.087
Q9UL33	0.087
A0A075B6L2	0.087
O95994	0.087
P56377	0.087
P60891	0.087
Q96CD2	0.087
P56279	0.087
Q3ZCW2	0.087
Q9Y689	0.087
P13073	0.088
A0A0G2JMI3	0.088
P61923	0.088
Q9H0F7	0.088
Q92629	0.088
Q9Y2Q5	0.088
O95059	0.088
Q5VSP4	0.088
Q96BD6	0.088
Q9GZV4	0.088
Q7Z5P4	0.088
Q56UQ5	0.088
P19404	0.088
Q4U2R6	0.088
Q9BW83	0.088
P11908	0.088
A0A1B0GW15	0.088
O95057	0.088
Q9H0R4	0.089
Q13257	0.089
Q14558	0.089
P55769	0.089
Q9Y281	0.089
P00492	0.089
P26441	0.089
A0A087WTH5	0.089
P07737	0.089
E9PQ53	0.089
Q8IUR0	0.089
Q9NR31	0.089
Q9BW72	0.089
A8MTT3	0.089
Q9H492	0.089
Q6P589	0.089
P13693	0.089
Q9UDX5	0.089
P02144	0.089
O95861	0.089
Q9C0K3	0.089
P20472	0.09
Q9Y4Y9	0.09
Q9Y3C4	0.09
P14550	0.09
O15116	0.09
Q9GZY4	0.09
O14548	0.09
Q13166	0.09
Q6ZMR3	0.09
O60543	0.09
Q9ULC4	0.09
O60676	0.09
Q0P5N6	0.09
P56537	0.09
O75832	0.09
Q9NZD2	0.09
P20618	0.09
Q9NR00	0.09
Q9BVK6	0.091
Q86T20	0.091
Q9H2P9	0.091
P15153	0.091
Q9UHA7	0.091
Q9UI95	0.091
Q9Y241	0.091
G2XKQ0	0.091
Q9H0R8	0.091
Q8NHR9	0.091
P30041	0.091
Q8TC17	0.091
Q9HBL8	0.091
P18085	0.091
P02792	0.091
O60739	0.091
Q9Y5J5	0.091
Q9NRG1	0.091
P12273	0.091
Q86W74	0.092
Q4G0G5	0.092
Q96EK6	0.092
P01111	0.092
Q8N4T8	0.092
Q86SG5	0.092
A4D0Y5	0.092
A0PJZ0	0.092
Q96EL3	0.092
Q96N28	0.092
P51636	0.092
P24310	0.092
A8MV24	0.092
P46926	0.092
P22090	0.092
Q9P0J0	0.092
Q6ZSU1	0.092
Q9Y3B7	0.092
Q96EE4	0.092
Q96GC5	0.092
Q9P298	0.092
P10916	0.092
Q8IVJ8	0.092
Q5TBC7	0.092
Q9UIJ7	0.092
Q9Y5J9	0.092
Q99622	0.092
Q96S95	0.092
O15305	0.093
Q9NSK7	0.093
O60397	0.093
A6NGE7	0.093
O00258	0.093
Q96BQ1	0.093
P07195	0.093
Q9NS64	0.093
Q9Y248	0.093
P21673	0.093
O95969	0.093
O43708	0.093
Q96AZ6	0.093
O75947	0.093
P62312	0.093
P25788	0.093
Q8IVP5	0.093
Q2M5E4	0.093
Q99603	0.093
Q7L5N1	0.093
Q9BU20	0.093
Q9P0M9	0.093
Q9Y5R8	0.093
O75828	0.093
Q5JT25	0.093
Q9BT73	0.093
P62805	0.093
O95847	0.094
P25398	0.094
P31151	0.094
P23919	0.094
P41159	0.094
Q9Y547	0.094
P62745	0.094
A0A1B0GX78	0.094
P00374	0.094
Q9P086	0.094
O14599	0.094
Q6GMV3	0.094
Q9GZM3	0.094
Q14565	0.094
Q0Z7S8	0.094
O96015	0.094
A0A1B0GW35	0.094
A0A087WYE8	0.094
Q9NP90	0.094
O75489	0.094
Q7L523	0.094
P22061	0.094
Q92930	0.094
Q9H061	0.094
Q99807	0.095
Q04837	0.095
A8MUM7	0.095
P62820	0.095
Q4VC31	0.095
Q05315	0.095
A1L167	0.095
Q6P2I3	0.095
O75896	0.095
A0A0J9YW62	0.095
Q9P0R6	0.095
Q9NZG7	0.095
P61026	0.095
P0CE72	0.095
P56597	0.095
P82664	0.095
Q15828	0.095
Q01469	0.095
P09467	0.095
Q99436	0.095
P02654	0.095
O95777	0.095
P62277	0.095
A8MWE9	0.095
P23297	0.095
O00399	0.095
Q9NUJ1	0.096
P55773	0.096
O43261	0.096
Q9BPW9	0.096
O60262	0.096
P63121	0.096
O14949	0.096
Q15126	0.096
A0A5B6	0.096
P49913	0.096
Q8TCA0	0.096
Q15669	0.096
P00568	0.096
Q9BZP3	0.096
Q9BY50	0.096
Q9Y221	0.096
Q13404	0.096
Q969L4	0.096
P62699	0.096
Q96FJ2	0.096
Q9NX01	0.096
O75911	0.096
Q7Z4W2	0.096
Q86WC6	0.096
P15374	0.096
Q13011	0.096
O95298	0.097
P53680	0.097
Q9BY60	0.097
P60604	0.097
Q0PNE2	0.097
O60234	0.097
Q3B7S5	0.097
Q9GZZ1	0.097
Q6UWP2	0.097
A6NGQ2	0.097
A0A1B0GWK0	0.097
Q6JVE9	0.097
P60900	0.097
Q3KRA6	0.097
O60880	0.097
P61088	0.097
Q01629	0.097
Q96LD8	0.097
Q96GX2	0.097
Q9Y6H6	0.097
Q9BYC9	0.097
Q14376	0.097
Q9P0B6	0.097
Q9BZL1	0.097
O75865	0.097
P46782	0.097
A1L190	0.098
Q8N6N6	0.098
Q86YS6	0.098
Q9UBQ0	0.098
Q9NRV9	0.098
Q96DE0	0.098
Q9BSH5	0.098
O43809	0.098
Q86XF0	0.098
Q96E66	0.098
Q3B7I2	0.098
O95825	0.098
Q9H7C9	0.098
A6NK44	0.098
P29377	0.098
P50150	0.098
P18859	0.098
Q7Z4W1	0.098
Q6A555	0.098
Q8N3Z3	0.098
Q9BV86	0.099
P62310	0.099
P0DJI8	0.099
Q8TAA3	0.099
P62888	0.099
O95372	0.099
Q52LA3	0.099
Q8WXJ9	0.099
Q06830	0.099
O95968	0.099
Q9NQR4	0.099
O43924	0.099
Q03135	0.099
O15160	0.099
P42773	0.099
P30273	0.099
P28066	0.099
O60361	0.099
O14972	0.099
Q15382	0.099
Q9H0W9	0.099
Q96PC3	0.099
Q96KX1	0.099
P30039	0.1
Q9BTM9	0.1
Q8NDC4	0.1
Q96AT9	0.1
P01036	0.1
P28065	0.1
O43736	0.1
Q8WUX2	0.1
P23284	0.1
Q9Y3D6	0.1
P09210	0.1
P62701	0.1
P62913	0.1
Q96BP2	0.1
P02743	0.1
P30084	0.1
Q99417	0.1
P61599	0.1
Q7Z7K0	0.1
Q8NEX9	0.1
P51161	0.1
Q15195	0.1
P28845	0.1
Q8WV07	0.1
P25815	0.1
P04271	0.1
Q5VZ03	0.1
P14621	0.1
P51157	0.1
A0A5B0	0.1
Q5SY68	0.101
P63172	0.101
O43324	0.101
Q96R05	0.101
Q9P032	0.101
P0DP02	0.101
Q5T013	0.101
P63215	0.101
Q6ZSB3	0.101
Q9Y2Y6	0.101
P15382	0.101
Q8N945	0.101
Q9Y3B4	0.101
Q969Q4	0.101
O75223	0.101
Q16698	0.101
P62136	0.101
Q9NZH8	0.101
P03986	0.101
P27105	0.101
Q9BQI0	0.101
O94760	0.101
P58550	0.101
A0A1W2PPG7	0.101
Q01524	0.101
A0A075B6N4	0.102
P55039	0.102
P0CL85	0.102
Q9BQA9	0.102
P07108	0.102
Q9BUK0	0.102
Q12974	0.102
Q14116	0.102
P61966	0.102
P63167	0.102
P62937	0.102
O95257	0.102
Q9C002	0.102
P0C5J1	0.102
Q53GQ0	0.102
Q9H2D1	0.102
P23528	0.102
Q9Y2B0	0.102
Q92583	0.102
Q8N2F6	0.102
Q9Y2Q3	0.102
Q9NWV4	0.102
Q86WV5	0.102
Q9NRN9	0.102
Q9BRJ7	0.102
Q6B0K9	0.102
O60575	0.102
Q9BV40	0.103
O95476	0.103
Q9H0Q3	0.103
P12104	0.103
Q8N6D5	0.103
P30044	0.103
P47874	0.103
O75817	0.103
P0CL84	0.103
Q8N668	0.103
P61225	0.103
P01112	0.103
Q9P1F3	0.103
Q92871	0.103
Q9UM19	0.103
Q96S19	0.103
P49755	0.103
Q9H503	0.103
Q9H1M4	0.103
Q16772	0.103
Q96E16	0.103
P28161	0.103
Q9NP86	0.103
A0A075B6N3	0.103
Q9UDX4	0.103
Q96T52	0.103
P01040	0.103
A0A075B6V5	0.103
P06493	0.104
Q9UL19	0.104
A1A4F0	0.104
Q99440	0.104
Q8WZ26	0.104
P15531	0.104
Q9NPD7	0.104
P08263	0.104
Q9Y5J7	0.104
Q9Y3C6	0.104
P05452	0.104
Q9HBL7	0.104
P21108	0.104
Q7RTV2	0.104
Q9BY32	0.104
Q8WW35	0.104
Q96C74	0.104
O15514	0.104
Q03393	0.104
P06703	0.104
A6NHG4	0.104
Q15165	0.104
Q9BUT1	0.104
Q96LZ3	0.104
Q96H20	0.104
P30046	0.104
A6NDL7	0.104
O75414	0.104
O00214	0.104
Q13162	0.104
P08708	0.104
Q9BXA6	0.104
P02766	0.105
P15428	0.105
P0CE71	0.105
Q9HBF5	0.105
O95715	0.105
Q00535	0.105
O95237	0.105
A8MT69	0.105
Q96HU8	0.105
Q8IXM3	0.105
P84090	0.105
A0A1B0GTC6	0.105
Q9UK08	0.105
Q14914	0.105
Q53FP2	0.105
P15090	0.105
Q86Y30	0.105
A6NIZ1	0.105
Q5W111	0.106
P17516	0.106
Q53S33	0.106
Q96NR8	0.106
A0A0A0MS01	0.106
P50120	0.106
P80075	0.106
Q49AH0	0.106
Q8WXD5	0.106
Q00526	0.106
Q9UJG1	0.106
P59768	0.106
Q30KQ5	0.106
P84095	0.106
Q56P42	0.106
P20340	0.106
Q8IUX1	0.106
Q9Y6J6	0.106
Q9BZG1	0.106
Q9Y277	0.106
Q9H1X1	0.106
P51159	0.106
Q9H2H8	0.106
O95166	0.106
Q07812	0.106
B2RUZ4	0.106
Q9UBQ7	0.106
Q15819	0.106
Q9BPW4	0.107
Q6JHZ5	0.107
P55145	0.107
P40926	0.107
Q9BUV8	0.107
O60487	0.107
A0A0B4J235	0.107
P62266	0.107
P0C7V7	0.107
P40616	0.107
O75838	0.107
Q8TB33	0.107
P09228	0.107
P07311	0.107
P02689	0.107
P35250	0.107
A6PVI3	0.107
Q9Y3D7	0.107
O75935	0.107
Q13296	0.107
Q5T3Y7	0.107
Q6NUK1	0.108
P31949	0.108
Q5T6J7	0.108
Q15363	0.108
Q8N5G0	0.108
Q9UMX6	0.108
Q5VZ52	0.108
Q8N268	0.108
Q9NX04	0.108
P27169	0.108
Q9H2M3	0.108
B0L3A2	0.108
P35542	0.108
Q9UJ70	0.108
P62341	0.108
Q9NZD4	0.108
Q9Y587	0.108
Q99653	0.108
Q96Q77	0.108
Q9NRC9	0.108
O15247	0.108
P56539	0.108
P98173	0.108
Q99497	0.108
P62308	0.108
A0A1B0GUV8	0.109
Q969M7	0.109
P02741	0.109
Q8N7N1	0.109
Q08623	0.109
P40306	0.109
P24941	0.109
P35232	0.109
Q8TBF5	0.109
O14656	0.109
A0A1B0GTR0	0.109
Q6PH85	0.109
Q9HBJ8	0.109
P49703	0.109
Q8TAV4	0.109
Q6P7N7	0.109
Q9BQT8	0.109
P61077	0.109
O75365	0.109
Q9NQ88	0.109
A0A1W2PR19	0.109
A8MWD9	0.109
Q9BRT3	0.109
P04899	0.109
P52895	0.109
Q86UU9	0.109
P40429	0.109
P26885	0.109
O43681	0.11
A0A1B0GUI7	0.11
P51809	0.11
Q6ZS92	0.11
O60218	0.11
A0A0B4J265	0.11
P0C7P4	0.11
P0DI82	0.11
P0DPB6	0.11
P60673	0.11
P0DI81	0.11
Q8WZ69	0.11
A8MWV9	0.11
H0UI37	0.11
P35080	0.11
P82921	0.11
Q9NXJ5	0.11
P42126	0.11
P99999	0.11
O00212	0.11
P01772	0.11
Q30KQ6	0.11
P56385	0.11
Q9Y3B6	0.11
Q13868	0.11
Q9P2X7	0.11
Q6UWQ5	0.11
Q8N8J0	0.11
Q9NY56	0.11
Q5VZ72	0.11
Q96A58	0.11
P63000	0.11
Q9NYS0	0.111
P32969	0.111
Q16674	0.111
Q86Y29	0.111
P63098	0.111
P0CL83	0.111
P0C0P6	0.111
Q13637	0.111
Q9H5X1	0.111
Q9H081	0.111
Q9NX24	0.111
Q02325	0.111
P49366	0.111
Q15771	0.111
P24539	0.111
A0A1B0GVT2	0.111
P09382	0.111
P35225	0.111
Q8WWX9	0.111
Q9NPF4	0.111
Q8TD47	0.111
C9JCN9	0.112
Q5VT40	0.112
Q9Y6A4	0.112
O75452	0.112
Q8TBE9	0.112
O14595	0.112
Q96DC9	0.112
Q9Y5N5	0.112
P0C6P0	0.112
A0A0K0K1C0	0.112
P0C851	0.112
P10620	0.112
Q99685	0.112
Q9Y3V2	0.112
P35914	0.112
Q9BUE6	0.112
Q9H2U6	0.112
A0A1B0GUS4	0.112
O76038	0.112
Q5SVS4	0.112
P01768	0.112
P60985	0.112
P07864	0.112
P01591	0.112
Q9NV31	0.112
Q96B26	0.112
P0DP03	0.112
Q969D9	0.112
Q9Y3L5	0.112
Q9Y3A0	0.112
Q5JUR7	0.112
P22362	0.112
Q9UL26	0.113
Q9Y244	0.113
P06733	0.113
Q99819	0.113
Q9NQF3	0.113
P62760	0.113
Q9H8M1	0.113
O43325	0.113
Q96CQ1	0.113
Q9GZX6	0.113
Q96H78	0.113
P30043	0.113
A4D1Z8	0.113
Q5JQF8	0.113
Q6UXN9	0.113
P0CG30	0.113
O14807	0.113
Q06136	0.113
P04183	0.113
Q15181	0.113
A0A0B4J275	0.113
P49789	0.113
P62166	0.113
P12004	0.113
P08493	0.113
A0A087WT03	0.113
Q9H3K6	0.113
Q8TCD5	0.113
O76096	0.114
P49720	0.114
O95168	0.114
Q9UKI3	0.114
A0A096LP01	0.114
Q5JS54	0.114
Q9BTZ2	0.114
P0CE67	0.114
Q5TC12	0.114
A0A075B7D8	0.114
P63124	0.114
P0C843	0.114
P37235	0.114
Q9BTE1	0.114
Q9HBI5	0.114
P60174	0.114
P12074	0.114
Q9UK41	0.114
Q9HDD0	0.114
P07205	0.114
A0A0C4DH33	0.114
Q6RSH7	0.114
Q8NBQ5	0.114
P67812	0.114
Q1T7F1	0.114
Q96HJ9	0.114
Q13636	0.114
P62875	0.114
Q16836	0.114
P56559	0.115
Q8N812	0.115
P0CG29	0.115
P36639	0.115
P31350	0.115
P52788	0.115
P0CW19	0.115
P0CW20	0.115
Q02978	0.115
Q9H840	0.115
A9UHW6	0.115
Q16568	0.115
P78556	0.115
P01037	0.115
P62306	0.115
A6NNS2	0.115
Q6UDR6	0.115
P01906	0.115
P52657	0.115
A0A8I5KW96	0.115
Q9P2W3	0.115
O00194	0.115
P49721	0.115
P13164	0.115
P05090	0.115
Q8IWT0	0.115
Q9H4I9	0.116
Q8N9F7	0.116
P61009	0.116
Q7Z7H5	0.116
Q9H1P6	0.116
P0DTE1	0.116
Q99714	0.116
Q6XE38	0.116
Q14442	0.116
A8MV81	0.116
A0A0J9YY99	0.116
P54709	0.116
O60762	0.116
Q9Y6X1	0.116
P00387	0.116
P40933	0.116
P11684	0.116
P23510	0.116
Q5EBL8	0.116
Q8TDQ7	0.116
P61160	0.116
Q9ULZ3	0.116
A0A5A6	0.116
Q9UBH0	0.116
Q5HYI8	0.116
Q9Y5L4	0.117
O43674	0.117
P33552	0.117
Q8N7M0	0.117
P49638	0.117
C9JRZ8	0.117
Q6P161	0.117
Q9NV29	0.117
Q2TAA2	0.117
O95988	0.117
Q96EL2	0.117
Q9UII6	0.117
P12235	0.117
P61289	0.117
Q5T215	0.117
P08319	0.117
P0CG01	0.117
P22694	0.117
P51553	0.117
Q9BZQ4	0.117
O43715	0.117
Q96F15	0.117
Q8TCE6	0.117
P21964	0.117
Q9Y3E5	0.117
A0ZSE6	0.117
Q16548	0.117
A0A0A6YYK4	0.117
Q68D91	0.118
Q8TCD1	0.118
O43427	0.118
Q13015	0.118
Q9BWD3	0.118
Q99616	0.118
Q96DS6	0.118
P46439	0.118
Q7Z7B8	0.118
Q0ZLH3	0.118
O95150	0.118
P27144	0.118
P17612	0.118
Q8N3I7	0.118
P60763	0.118
Q9NZ45	0.118
Q8N0Y7	0.118
Q5VYY1	0.118
Q6P1L8	0.118
Q02747	0.118
P42574	0.118
Q9P0S2	0.118
A6NKH3	0.118
P10114	0.118
Q8WVE0	0.119
P62318	0.119
Q9BT17	0.119
Q00403	0.119
P51572	0.119
Q8N5I4	0.119
Q96BS2	0.119
Q6IAN0	0.119
Q9BPU9	0.119
Q9HC38	0.119
Q86SX6	0.119
Q9NPG2	0.119
O14684	0.119
Q15388	0.119
O75324	0.119
Q9HCY8	0.119
A0A0B4J249	0.119
O75394	0.119
Q9Y287	0.119
Q9BRX8	0.12
P01116	0.12
Q96EH3	0.12
Q9UFN0	0.12
Q16831	0.12
Q5TGL8	0.12
P60866	0.12
O60499	0.12
Q9UKL6	0.12
Q17RB0	0.12
Q9NWM8	0.12
Q8IWT1	0.12
P21796	0.12
P84074	0.12
Q02338	0.12
Q4G0X4	0.12
Q9BV57	0.12
Q9BT56	0.12
P13804	0.12
Q96NU7	0.12
P48061	0.12
Q13401	0.12
P29992	0.121
Q14088	0.121
P58499	0.121
B4DJY2	0.121
A0A0K0K1G8	0.121
P09669	0.121
Q9GZT3	0.121
P35754	0.121
Q9BX68	0.121
P23435	0.121
Q5TC63	0.121
O95169	0.121
Q0VG73	0.121
P61366	0.121
Q16774	0.121
O00483	0.121
Q13323	0.121
P04406	0.121
P15018	0.121
Q07699	0.121
P61601	0.121
P0DW85	0.121
P48047	0.122
O75787	0.122
Q8N335	0.122
P62834	0.122
Q9H867	0.122
A0A1B0GTH9	0.122
Q9BRX5	0.122
F2Z398	0.122
O75596	0.122
O15205	0.122
P47224	0.122
P58513	0.122
P05026	0.122
P37837	0.122
Q9H477	0.122
A0A0A0MS14	0.122
Q86YB7	0.122
Q15631	0.122
P63302	0.122
Q9NUG6	0.122
O00175	0.122
Q92820	0.122
Q6NSW5	0.122
A0A0B4J1Y9	0.122
P56134	0.122
A0A0B4J266	0.122
P09105	0.122
Q0VAQ4	0.123
P61224	0.123
P07148	0.123
O60760	0.123
Q8N8F7	0.123
P05230	0.123
Q9Y3B2	0.123
O14960	0.123
Q13156	0.123
Q9HD87	0.123
P16083	0.123
Q86WW8	0.123
P27469	0.123
A0A2R8Y4Y8	0.123
Q5TA50	0.124
O00168	0.124
P78417	0.124
Q5JPI9	0.124
P11802	0.124
Q8WUJ0	0.124
O76095	0.124
P01782	0.124
O94903	0.124
O75438	0.124
Q9H7X7	0.124
P18669	0.124
Q7L592	0.124
A0A0B4J273	0.124
Q96DN0	0.124
O43447	0.124
P09488	0.124
A4D1T9	0.124
A0A0A6YYJ7	0.124
Q8N0X4	0.124
Q9NVG8	0.124
Q7L273	0.124
Q9NW81	0.124
Q58G82	0.125
P78543	0.125
Q2M2E5	0.125
Q5RI15	0.125
A0JD36	0.125
O95045	0.125
O75715	0.125
Q9Y536	0.125
A0A0A6YYK6	0.125
P12429	0.125
Q04760	0.125
Q9UKK9	0.125
Q7Z7D3	0.125
P01909	0.125
O15145	0.125
Q9UFV3	0.125
Q7Z4Y8	0.125
Q8N8P6	0.125
A0A075B767	0.126
Q9P2M1	0.126
Q9H596	0.126
Q14507	0.126
A6NIU2	0.126
P61626	0.126
P50135	0.126
O95750	0.126
Q8TD86	0.126
Q9H9Y4	0.126
P42025	0.126
Q15008	0.126
P47985	0.126
Q9Y3B3	0.126
O15467	0.126
Q9BUP3	0.126
P09693	0.126
Q9Y5Q6	0.126
A4QPB2	0.126
W6CW81	0.126
P05112	0.127
Q7Z4J2	0.127
A0A0K0K1C4	0.127
P0DN37	0.127
O15155	0.127
Q99731	0.127
P58511	0.127
P29459	0.127
Q5VVC0	0.127
Q7Z5G4	0.127
P51808	0.127
Q99627	0.127
Q8N8Y2	0.127
P08620	0.127
A0A0C4DH30	0.127
Q9NZQ0	0.127
Q15102	0.127
P23526	0.127
A0A584	0.127
P06340	0.127
P31371	0.127
A0A0C4DH32	0.127
A0A0A0MS00	0.127
Q9Y3B1	0.127
Q9NSP4	0.127
P0CG22	0.127
Q3KRB8	0.127
P55774	0.127
Q8WWM9	0.127
Q9NWH2	0.127
A0A0K0K1A3	0.127
Q96KK5	0.127
A0A0A6YYK1	0.127
P20036	0.128
Q6FI13	0.128
Q9NU23	0.128
P62502	0.128
P18440	0.128
Q9BPX1	0.128
P13929	0.128
Q9UMX3	0.128
Q9HBH5	0.128
Q9BSD7	0.128
P28070	0.128
Q537H7	0.128
Q8N6L7	0.128
Q96G04	0.128
O95661	0.128
Q9Y3Q3	0.128
O60895	0.128
A0A0G2JNJ9	0.128
Q9H0U6	0.128
Q9BV47	0.128
P63096	0.128
Q8N5I3	0.128
Q8TDG2	0.128
P04440	0.128
A0A0B4J2A2	0.129
A0A087X0M5	0.129
O15144	0.129
P09466	0.129
Q96FQ7	0.129
Q86YQ2	0.129
O15498	0.129
P05141	0.129
P09471	0.129
P13765	0.129
O95881	0.129
Q9NRX4	0.129
P22760	0.129
Q86UQ5	0.129
Q9NVP2	0.129
Q96DB2	0.129
Q96L46	0.129
Q06609	0.129
Q6JVE6	0.129
P23083	0.129
Q7L7L0	0.129
Q9BSK2	0.129
Q9NUJ7	0.129
Q8NET1	0.129
Q9H0C2	0.129
A0A075B6L6	0.129
Q16777	0.129
A0A0A0MRZ7	0.129
Q9UHV8	0.129
Q96DA2	0.129
Q9NRX3	0.13
P04908	0.13
Q8N8G6	0.13
P61513	0.13
P20671	0.13
P01375	0.13
Q9NY72	0.13
E5RQL4	0.13
Q6UY13	0.13
Q9H4G8	0.13
Q8IZV5	0.13
P22301	0.13
Q8N5N7	0.13
Q04828	0.13
A0A0B4J1V6	0.13
Q15005	0.13
Q13361	0.13
Q8TAP4	0.13
Q9NPH9	0.13
A6NDN8	0.13
Q9H944	0.13
P00558	0.13
Q9NRJ1	0.13
Q9Y3D0	0.13
Q5TGZ0	0.131
O14519	0.131
Q9BXD5	0.131
A8MZ26	0.131
A0A0C4DH29	0.131
A0A0A6YYD4	0.131
A0A1B0GV22	0.131
Q7Z6V5	0.131
Q8N6R1	0.131
A0A0C4DH28	0.131
Q30KQ9	0.131
O75380	0.131
Q8IXL9	0.131
A8MTL0	0.131
Q99878	0.131
Q4VC39	0.131
Q9H6Z9	0.131
P61769	0.131
Q00266	0.131
Q96I45	0.131
A0A1B0GUQ0	0.131
Q5YKI7	0.131
P61970	0.131
Q9UHF0	0.131
P25874	0.131
Q99969	0.131
P01766	0.132
O00764	0.132
Q5H943	0.132
Q9UGM6	0.132
P46976	0.132
P42857	0.132
Q16559	0.132
Q9Y673	0.132
P0DJI9	0.132
A0A1B0GUA7	0.132
Q99766	0.132
Q8TF65	0.132
Q9UL46	0.132
C9J3I9	0.132
P00480	0.132
Q9GZN8	0.132
Q9HAE3	0.132
Q8TCB7	0.132
A8MYZ5	0.132
Q9NUP9	0.132
O95167	0.132
Q9NZT1	0.132
P0C0S8	0.133
P13501	0.133
Q9Y617	0.133
P40261	0.133
